address,balance_raw,balance_decimal,is_pool,pool_label,tx_count,first_seen_block,last_seen_block,query_timestamp
0x3F6bF69Ef37E6C28D767ceEEe233c3679FE2BB67,0,0.0,False,,1,25003994,25003994,1784895933
0x3aC821bf235ea85fE679226e13585f12aE160eb5,0,0.0,False,,1,25003869,25003869,1784895933
0x3c4A58301D2Eb129CF1905e0E7A97a74bbdB309a,0,0.0,False,,1,25003979,25003979,1784895933
0x3d7889Cd9BD853210704Ca6561E9F15cA1de9d30,0,0.0,False,,1,25003977,25003977,1784895933
0x3f6d75A4121bebe08d33915B6237dFc47CBFb06e,0,0.0,False,,1,25003994,25003994,1784895933
0x41A5548196A371050B7388EdE2683f32576F9997,0,0.0,False,,12,25003787,25003832,1784895933
0x4313C378Cc91eA583C91387B9216e2c03096b27f,0,0.0,False,,6,25003914,25003914,1784895933
0x43266D5BC6f38E2744CA3Fc47DdF1cb3dB167CB3,0,0.0,False,,7,25003615,25003836,1784895933
0x43f4fb4e755bc1b4c35945d6A00bD1B71E3279B9,0,0.0,False,,11,25003549,25003962,1784895933
0x440B71954Ea9f2c265733B60760B31fb801cc400,0,0.0,False,,1,25003820,25003820,1784895933
0x4442dF2B37719B80cd4B9e9c140De0eA96bB7FC3,1,0.0,False,,1,25003549,25003549,1784895933
0x4492A8C130Fb93a948372C3F4D89d247f371A4fD,0,0.0,False,,4,25003831,25003831,1784895933
0x45d0fCB00fbB220a76a80A2154CDa0394765EDA3,0,0.0,False,,4,25003847,25003898,1784895933
0x46eb53Ff661445bB03EAef38BE61a21f8EE88B76,0,0.0,False,,2,25003965,25003977,1784895933
0x478104E20E25933Cdea21a1e39c30279257E7B5d,0,0.0,False,,1,25003854,25003854,1784895933
0x4842359eda8AEDf5BacbCc052D05fb6655887f1E,0,0.0,False,,1,25003826,25003826,1784895933
0x49216eB7F2F0304fC4C1c3c64b4F436F691F3588,0,0.0,False,,1,25003968,25003968,1784895933
0x4C82D1fBFe28C977cBB58D8C7FF8FCF9F70a2cCA,0,0.0,False,,45,25003615,25003977,1784895933
0x4D39aA0f21B6E37b3b6eFa3BFe99cDE9A5D373fb,0,0.0,False,,1,25003715,25003715,1784895933
0x4F4e92411c06559F6EB4e5d99C1D696f93a14B53,0,0.0,False,,2,25003904,25003953,1784895933
0x4a8DdA45A22D3a2C662441CAC250ecEb9456Cfe8,0,0.0,False,,1,25003618,25003618,1784895933
0x4b5617694F6224dc6363Ac5eb1e991b1c89e72f1,0,0.0,False,,1,25003973,25003973,1784895933
0x4b75DFCb526369b107b74c8d046f92ef58D6d725,0,0.0,False,,2,25003711,25003711,1784895933
0x4bbf76CF6Dd12d98aca6ce669c254E9b62421BCE,0,0.0,False,,2,25003808,25003846,1784895933
0x4c3ccC98C01103bE72bcfd29e1D2454c98d1A6e3,1,0.0,False,,3,25003839,25003839,1784895933
0x4d6c394a97343a88Dcd7E1210E30c7206Ba111C4,0,0.0,False,,1,25003823,25003823,1784895933
0x501B79d8F0eE8FA463836d20Ebb8d598f364FD6e,0,0.0,False,,3,25003558,25003587,1784895933
0x5274725492F84678C19aCA3Ae24115201C9FeEB5,0,0.0,False,,2,25003807,25003807,1784895933
0x53b73031fAcf8C8dc3d93765525308e6Ff558305,0,0.0,False,,1,25003810,25003810,1784895933
0x543b1E642Ea9d999312b4D7eE12BA08183C4279c,0,0.0,False,,1,25003914,25003914,1784895933
0x55D03BB57F44D74FE6AFDc0fe33D925916486F06,0,0.0,False,,2,25003867,25003867,1784895933
0x561cBB1Bb57900f31b9983Ef1E0352373d1DA05F,0,0.0,False,,1,25003788,25003788,1784895933
0x568559E7c0D36539aB406dD5133A8f5F391D751d,0,0.0,False,,1,25003925,25003925,1784895933
0x599039Ff3A74aBb2AB0b2B0350adcBFeefAf7457,0,0.0,False,,1,25003877,25003877,1784895933
0x59fFBDf6BEae9E6bE68EC10f31eD48B98eF67C25,0,0.0,False,,2,25003842,25003857,1784895933
0x5B25adE8DbA55fe6D3D7F7719018504899B729e2,42,0.0,False,,1,25003671,25003671,1784895933
0x5C531Ee8dcaae2367B9D0c92236fE116fd6182eb,0,0.0,False,,1,25003837,25003837,1784895933
0x5C546E855Fb002Fd0C54d7E8d6F5Bc13D377CFe4,0,0.0,False,,1,25003854,25003854,1784895933
0x5D0a56f72a683bE7A9AeC415E364bF747845B0ec,0,0.0,False,,2,25003772,25003772,1784895933
0x5E1f62Dac767b0491e3CE72469C217365D5B48cC,0,0.0,False,,6,25003876,25003985,1784895933
0x5E21bc13b82F4b716E779D38A12510Ecb21fb3e6,0,0.0,False,,8,25003549,25003920,1784895933
0x5be339c071f7fc43E0F0EB2e20643c24AADE678C,0,0.0,False,,1,25003823,25003823,1784895933
0x5c3A1C3995FD5A5A7E0Ec5d28A17c8310aB52f2c,0,0.0,False,,3,25003946,25003946,1784895933
0x5cBcfF0e525926a73138e12Ac2E3C37D264e691c,0,0.0,False,,1,25003717,25003717,1784895933
0x5dc3475c23218B9e9ee80301b15fBA4aAd7BA19c,0,0.0,False,,4,25003825,25003825,1784895933
0x6015a9456ed3a77A35AdFd1AF8e46c8B4f5E4956,0,0.0,False,,3,25003639,25003992,1784895933
0x6047eB37d54cc9D98b84b837A85Bea37Aa62243f,0,0.0,False,,1,25003714,25003714,1784895933
